County,x_coord,y_coord
Turkana,-202.0,234.0
Marsabit,-26.0,173.0
Wajir,153.0,105.0
Mandera,184.0,238.0
Garissa,162.0,-63.0
Lamu,189.0,-181.0
Kilifi,119.0,-257.0
Kwale,87.0,-324.0
Tana-River,106.0,-132.0
Isiolo,44.0,52.0
Samburu,-64.0,61.0
Baringo,-140.0,29.0
West Pokot,-192.0,95.0
Laikipia,-92.0,-5.0
Taita - Taveta,28.0,-277.0
Kajiado,-58.0,-194.0
Narok,-183.0,-123.0
Migori,-262.0,-99.0
Homa Bay,-272.0,-63.0
Siaya,-264.0,-33.0
Busia,-263.0,10.0
Bungoma,-231.0,31.0
Trans-Nzoia,-216.0,59.0
Elgeyo Marakwet,-175.0,50.0
Uasin Gishu,-189.0,15.0
Nandi,-200.0,-9.0
Kakamega,-234.0,-5.0
Kitui,26.0,-133.0
Makueni,-29.0,-160.0
Machakos,-47.0,-120.0
Nairobi,-78.0,-119.0
Kiambu,-86.0,-97.0
Muranga,-63.0,-82.0
Embu,-20.0,-71.0
Kirinyaga,-44.0,-67.0
Tharaka-Nithi,-15.0,-47.0
Nyeri,-76.0,-52.0
Nyandarua,-108.0,-39.0
Nakuru,-144.0,-50.0
Bomet,-190.0,-84.0
Kisii,-225.0,-84.0
Nyamira,-211.0,-71.0
Kericho,-192.0,-47.0
Kisumu,-229.0,-37.0
Mombasa,123.0,-311.0
Vihiga,-228.0,-20.0
